# 1 represents the best performance, 0 represents not the best performance. 

instance,sms,nsga,mole
Bi-Objective BBOB_2_1_1,0,0,1
Bi-Objective BBOB_2_1_10,0,0,1
Bi-Objective BBOB_2_1_2,0,0,1
Bi-Objective BBOB_2_1_3,1,0,1
Bi-Objective BBOB_2_1_4,0,0,1
Bi-Objective BBOB_2_1_5,0,0,1
Bi-Objective BBOB_2_1_6,0,0,1
Bi-Objective BBOB_2_1_7,1,0,0
Bi-Objective BBOB_2_1_8,1,0,0
Bi-Objective BBOB_2_1_9,1,0,1
Bi-Objective BBOB_2_10_1,1,1,0
Bi-Objective BBOB_2_10_10,0,1,0
Bi-Objective BBOB_2_10_2,1,0,0
Bi-Objective BBOB_2_10_3,1,1,0
Bi-Objective BBOB_2_10_4,1,1,0
Bi-Objective BBOB_2_10_5,1,0,0
Bi-Objective BBOB_2_10_6,1,0,0
Bi-Objective BBOB_2_10_7,1,1,0
Bi-Objective BBOB_2_10_8,1,1,0
Bi-Objective BBOB_2_10_9,1,1,0
Bi-Objective BBOB_2_11_1,1,0,0
Bi-Objective BBOB_2_11_10,1,0,0
Bi-Objective BBOB_2_11_2,1,0,0
Bi-Objective BBOB_2_11_3,1,0,0
Bi-Objective BBOB_2_11_4,1,0,0
Bi-Objective BBOB_2_11_5,1,0,0
Bi-Objective BBOB_2_11_6,1,0,0
Bi-Objective BBOB_2_11_7,1,0,0
Bi-Objective BBOB_2_11_8,1,0,0
Bi-Objective BBOB_2_11_9,1,0,0
Bi-Objective BBOB_2_12_1,1,0,0
Bi-Objective BBOB_2_12_10,1,0,0
Bi-Objective BBOB_2_12_2,0,0,1
Bi-Objective BBOB_2_12_3,1,1,0
Bi-Objective BBOB_2_12_4,1,0,0
Bi-Objective BBOB_2_12_5,0,0,1
Bi-Objective BBOB_2_12_6,0,0,1
Bi-Objective BBOB_2_12_7,1,0,0
Bi-Objective BBOB_2_12_8,1,0,0
Bi-Objective BBOB_2_12_9,1,0,0
Bi-Objective BBOB_2_13_1,0,1,1
Bi-Objective BBOB_2_13_10,0,1,0
Bi-Objective BBOB_2_13_2,0,1,0
Bi-Objective BBOB_2_13_3,1,1,1
Bi-Objective BBOB_2_13_4,0,0,1
Bi-Objective BBOB_2_13_5,0,1,1
Bi-Objective BBOB_2_13_6,0,1,1
Bi-Objective BBOB_2_13_7,1,1,0
Bi-Objective BBOB_2_13_8,1,1,0
Bi-Objective BBOB_2_13_9,1,1,0
Bi-Objective BBOB_2_14_1,0,1,0
Bi-Objective BBOB_2_14_10,0,1,0
Bi-Objective BBOB_2_14_2,1,1,0
Bi-Objective BBOB_2_14_3,0,1,0
Bi-Objective BBOB_2_14_4,0,1,0
Bi-Objective BBOB_2_14_5,0,1,0
Bi-Objective BBOB_2_14_6,0,1,0
Bi-Objective BBOB_2_14_7,0,1,0
Bi-Objective BBOB_2_14_8,0,1,0
Bi-Objective BBOB_2_14_9,1,1,0
Bi-Objective BBOB_2_15_1,1,0,0
Bi-Objective BBOB_2_15_10,1,0,0
Bi-Objective BBOB_2_15_2,1,1,0
Bi-Objective BBOB_2_15_3,1,1,0
Bi-Objective BBOB_2_15_4,1,0,0
Bi-Objective BBOB_2_15_5,1,0,0
Bi-Objective BBOB_2_15_6,1,0,0
Bi-Objective BBOB_2_15_7,1,0,0
Bi-Objective BBOB_2_15_8,1,0,0
Bi-Objective BBOB_2_15_9,1,1,0
Bi-Objective BBOB_2_16_1,0,1,0
Bi-Objective BBOB_2_16_10,1,1,0
Bi-Objective BBOB_2_16_2,1,1,0
Bi-Objective BBOB_2_16_3,1,1,0
Bi-Objective BBOB_2_16_4,1,1,0
Bi-Objective BBOB_2_16_5,0,1,0
Bi-Objective BBOB_2_16_6,1,1,0
Bi-Objective BBOB_2_16_7,1,1,0
Bi-Objective BBOB_2_16_8,1,1,0
Bi-Objective BBOB_2_16_9,1,1,0
Bi-Objective BBOB_2_17_1,1,1,0
Bi-Objective BBOB_2_17_10,1,1,0
Bi-Objective BBOB_2_17_2,0,1,0
Bi-Objective BBOB_2_17_3,1,1,0
Bi-Objective BBOB_2_17_4,1,1,0
Bi-Objective BBOB_2_17_5,1,1,0
Bi-Objective BBOB_2_17_6,1,1,0
Bi-Objective BBOB_2_17_7,1,1,0
Bi-Objective BBOB_2_17_8,0,1,0
Bi-Objective BBOB_2_17_9,1,1,0
Bi-Objective BBOB_2_18_1,1,0,0
Bi-Objective BBOB_2_18_10,1,0,0
Bi-Objective BBOB_2_18_2,1,0,0
Bi-Objective BBOB_2_18_3,1,1,0
Bi-Objective BBOB_2_18_4,1,1,0
Bi-Objective BBOB_2_18_5,1,1,0
Bi-Objective BBOB_2_18_6,1,1,0
Bi-Objective BBOB_2_18_7,1,1,0
Bi-Objective BBOB_2_18_8,1,0,0
Bi-Objective BBOB_2_18_9,1,1,0
Bi-Objective BBOB_2_19_1,0,1,0
Bi-Objective BBOB_2_19_10,0,1,0
Bi-Objective BBOB_2_19_2,1,1,0
Bi-Objective BBOB_2_19_3,0,1,0
Bi-Objective BBOB_2_19_4,1,0,0
Bi-Objective BBOB_2_19_5,1,0,0
Bi-Objective BBOB_2_19_6,1,1,0
Bi-Objective BBOB_2_19_7,1,0,0
Bi-Objective BBOB_2_19_8,1,1,0
Bi-Objective BBOB_2_19_9,1,1,0
Bi-Objective BBOB_2_2_1,1,1,0
Bi-Objective BBOB_2_2_10,1,0,0
Bi-Objective BBOB_2_2_2,1,0,0
Bi-Objective BBOB_2_2_3,1,1,0
Bi-Objective BBOB_2_2_4,1,0,0
Bi-Objective BBOB_2_2_5,1,0,0
Bi-Objective BBOB_2_2_6,1,0,0
Bi-Objective BBOB_2_2_7,1,0,0
Bi-Objective BBOB_2_2_8,1,0,0
Bi-Objective BBOB_2_2_9,1,1,0
Bi-Objective BBOB_2_20_1,1,0,0
Bi-Objective BBOB_2_20_10,1,0,0
Bi-Objective BBOB_2_20_2,1,1,0
Bi-Objective BBOB_2_20_3,1,0,0
Bi-Objective BBOB_2_20_4,1,0,0
Bi-Objective BBOB_2_20_5,0,0,1
Bi-Objective BBOB_2_20_6,1,0,0
Bi-Objective BBOB_2_20_7,1,0,0
Bi-Objective BBOB_2_20_8,1,0,0
Bi-Objective BBOB_2_20_9,1,0,0
Bi-Objective BBOB_2_21_1,0,1,0
Bi-Objective BBOB_2_21_10,1,1,1
Bi-Objective BBOB_2_21_2,1,1,0
Bi-Objective BBOB_2_21_3,1,1,0
Bi-Objective BBOB_2_21_4,1,1,1
Bi-Objective BBOB_2_21_5,1,0,0
Bi-Objective BBOB_2_21_6,1,1,0
Bi-Objective BBOB_2_21_7,1,0,0
Bi-Objective BBOB_2_21_8,1,1,0
Bi-Objective BBOB_2_21_9,1,0,0
Bi-Objective BBOB_2_22_1,1,1,0
Bi-Objective BBOB_2_22_10,1,1,0
Bi-Objective BBOB_2_22_2,1,1,0
Bi-Objective BBOB_2_22_3,1,0,0
Bi-Objective BBOB_2_22_4,0,1,0
Bi-Objective BBOB_2_22_5,1,1,0
Bi-Objective BBOB_2_22_6,0,1,0
Bi-Objective BBOB_2_22_7,0,1,0
Bi-Objective BBOB_2_22_8,1,0,0
Bi-Objective BBOB_2_22_9,0,1,0
Bi-Objective BBOB_2_23_1,1,0,0
Bi-Objective BBOB_2_23_10,1,0,0
Bi-Objective BBOB_2_23_2,1,0,0
Bi-Objective BBOB_2_23_3,1,0,0
Bi-Objective BBOB_2_23_4,1,0,0
Bi-Objective BBOB_2_23_5,1,0,0
Bi-Objective BBOB_2_23_6,1,0,0
Bi-Objective BBOB_2_23_7,1,0,0
Bi-Objective BBOB_2_23_8,1,0,0
Bi-Objective BBOB_2_23_9,1,0,0
Bi-Objective BBOB_2_24_1,0,1,0
Bi-Objective BBOB_2_24_10,1,1,0
Bi-Objective BBOB_2_24_2,1,1,0
Bi-Objective BBOB_2_24_3,1,1,0
Bi-Objective BBOB_2_24_4,1,1,0
Bi-Objective BBOB_2_24_5,1,1,0
Bi-Objective BBOB_2_24_6,1,1,0
Bi-Objective BBOB_2_24_7,1,1,0
Bi-Objective BBOB_2_24_8,1,1,0
Bi-Objective BBOB_2_24_9,1,1,0
Bi-Objective BBOB_2_25_1,1,0,0
Bi-Objective BBOB_2_25_10,1,0,0
Bi-Objective BBOB_2_25_2,0,1,0
Bi-Objective BBOB_2_25_3,1,1,0
Bi-Objective BBOB_2_25_4,1,1,0
Bi-Objective BBOB_2_25_5,1,0,0
Bi-Objective BBOB_2_25_6,1,1,0
Bi-Objective BBOB_2_25_7,1,0,0
Bi-Objective BBOB_2_25_8,1,1,0
Bi-Objective BBOB_2_25_9,1,1,0
Bi-Objective BBOB_2_26_1,1,0,0
Bi-Objective BBOB_2_26_10,1,1,0
Bi-Objective BBOB_2_26_2,1,1,0
Bi-Objective BBOB_2_26_3,1,1,0
Bi-Objective BBOB_2_26_4,1,0,0
Bi-Objective BBOB_2_26_5,1,1,0
Bi-Objective BBOB_2_26_6,1,1,0
Bi-Objective BBOB_2_26_7,1,0,0
Bi-Objective BBOB_2_26_8,1,1,0
Bi-Objective BBOB_2_26_9,1,0,0
Bi-Objective BBOB_2_27_1,1,1,0
Bi-Objective BBOB_2_27_10,1,1,0
Bi-Objective BBOB_2_27_2,1,1,0
Bi-Objective BBOB_2_27_3,1,0,0
Bi-Objective BBOB_2_27_4,1,0,0
Bi-Objective BBOB_2_27_5,1,1,0
Bi-Objective BBOB_2_27_6,1,1,0
Bi-Objective BBOB_2_27_7,1,1,0
Bi-Objective BBOB_2_27_8,1,1,0
Bi-Objective BBOB_2_27_9,1,0,0
Bi-Objective BBOB_2_28_1,0,0,1
Bi-Objective BBOB_2_28_10,1,1,1
Bi-Objective BBOB_2_28_2,0,0,1
Bi-Objective BBOB_2_28_3,0,0,1
Bi-Objective BBOB_2_28_4,0,0,1
Bi-Objective BBOB_2_28_5,0,0,1
Bi-Objective BBOB_2_28_6,0,0,1
Bi-Objective BBOB_2_28_7,0,0,1
Bi-Objective BBOB_2_28_8,1,1,0
Bi-Objective BBOB_2_28_9,1,1,0
Bi-Objective BBOB_2_29_1,0,1,0
Bi-Objective BBOB_2_29_10,0,1,0
Bi-Objective BBOB_2_29_2,0,1,0
Bi-Objective BBOB_2_29_3,1,1,0
Bi-Objective BBOB_2_29_4,0,1,0
Bi-Objective BBOB_2_29_5,1,1,0
Bi-Objective BBOB_2_29_6,1,1,0
Bi-Objective BBOB_2_29_7,1,1,0
Bi-Objective BBOB_2_29_8,0,1,0
Bi-Objective BBOB_2_29_9,1,1,0
Bi-Objective BBOB_2_3_1,1,0,0
Bi-Objective BBOB_2_3_10,1,0,0
Bi-Objective BBOB_2_3_2,0,0,1
Bi-Objective BBOB_2_3_3,1,0,0
Bi-Objective BBOB_2_3_4,1,0,0
Bi-Objective BBOB_2_3_5,1,0,0
