instance,best_hv,sms_mean,mole_mean,nsga_mean,sms_normalize,nsga_normalize,mole_normalize
Bi-Objective BBOB_2_1_1,0.833332924,0.833030159,0.833062317,0.832810126,0.999636682,0.999372642,0.999675272
Bi-Objective BBOB_2_1_10,0.833332794,0.833035416,0.833143281,0.8328233,0.999643147,0.999388607,0.999772585
Bi-Objective BBOB_2_1_2,0.833332931,0.833144029,0.83315546,0.833021256,0.999773318,0.999625989,0.999787034
Bi-Objective BBOB_2_1_3,0.833332922,0.833020152,0.833011442,0.832795558,0.999624676,0.999355162,0.999614224
Bi-Objective BBOB_2_1_4,0.833332867,0.833071221,0.833160648,0.832862393,0.999686025,0.999435431,0.999793338
Bi-Objective BBOB_2_1_5,0.833332945,0.833040457,0.833104454,0.832838446,0.999649014,0.999406601,0.999725811
Bi-Objective BBOB_2_1_6,0.833332799,0.833026746,0.833153085,0.832815096,0.999632736,0.999378756,0.999784343
Bi-Objective BBOB_2_1_7,0.833332799,0.833104052,0.833027049,0.832904044,0.999725504,0.999485494,0.9996331
Bi-Objective BBOB_2_1_8,0.833332645,0.833063483,0.832738622,0.832851238,0.999677005,0.999422311,0.999287172
Bi-Objective BBOB_2_1_9,0.833332608,0.833054349,0.833032839,0.832832212,0.999666089,0.999399525,0.999640277
Bi-Objective BBOB_2_10_1,0.922987888,0.920381973,0.452631506,0.921711417,0.997176653,0.998617023,0.490398099
Bi-Objective BBOB_2_10_10,0.909615355,0.907500889,0.244017384,0.908247096,0.997675428,0.998495783,0.268264364
Bi-Objective BBOB_2_10_2,0.889244712,0.88902554,0,0.88874618,0.99975353,0.999439376,0
Bi-Objective BBOB_2_10_3,0.921418301,0.920846443,0.288050389,0.920840796,0.999379372,0.999373243,0.31261631
Bi-Objective BBOB_2_10_4,0.942089495,0.93928675,0.33118338,0.941871323,0.99702497,0.999768417,0.351541315
Bi-Objective BBOB_2_10_5,0.940003751,0.939831169,0.187909393,0.93967597,0.999816403,0.999651298,0.199902812
Bi-Objective BBOB_2_10_6,0.884512897,0.884288431,0.174375139,0.884166636,0.999746226,0.999608529,0.197142563
Bi-Objective BBOB_2_10_7,0.972916091,0.971623283,0.548206065,0.972111353,0.998671203,0.99917286,0.563466953
Bi-Objective BBOB_2_10_8,0.92652444,0.919876432,0.228524936,0.922422477,0.992824789,0.995572741,0.246647499
Bi-Objective BBOB_2_10_9,0.663726927,0.651972268,0.097547438,0.649012091,0.982289917,0.977829985,0.146969233
Bi-Objective BBOB_2_11_1,0.823972813,0.823921062,0.274103834,0.823917897,0.999937193,0.999933352,0.332661259
Bi-Objective BBOB_2_11_10,0.826872158,0.826821061,0.192975742,0.826818448,0.999938204,0.999935045,0.233380384
Bi-Objective BBOB_2_11_2,0.834474641,0.834425172,0.422394696,0.834421633,0.999940719,0.999936477,0.506180386
Bi-Objective BBOB_2_11_3,0.817436951,0.817385189,0.133634283,0.817381644,0.999936677,0.999932341,0.163479621
Bi-Objective BBOB_2_11_4,0.883087616,0.883043372,0.195346393,0.883037504,0.999949898,0.999943254,0.221208393
Bi-Objective BBOB_2_11_5,0.849344298,0.849250871,0.686743519,0.849141704,0.999890001,0.99976147,0.808557285
Bi-Objective BBOB_2_11_6,0.826928091,0.826878059,0.325896944,0.826873938,0.999939496,0.999934512,0.394105543
Bi-Objective BBOB_2_11_7,0.827124525,0.827076775,0.149540129,0.82707244,0.99994227,0.999937029,0.180795183
Bi-Objective BBOB_2_11_8,0.81678549,0.816734277,0.114981658,0.816730196,0.999937299,0.999932303,0.140773385
Bi-Objective BBOB_2_11_9,0.832761546,0.832714758,0.181784421,0.832710842,0.999943816,0.999939113,0.218291085
Bi-Objective BBOB_2_12_1,0.981019022,0.980977312,0.980759605,0.980960992,0.999957483,0.999940847,0.999735564
Bi-Objective BBOB_2_12_10,0.865823542,0.865646541,0.865305797,0.865337892,0.999795569,0.999439088,0.99940202
Bi-Objective BBOB_2_12_2,0.999911395,0.999909875,0.999910777,0.999910036,0.99999848,0.99999864,0.999999382
Bi-Objective BBOB_2_12_3,0.99991574,0.999914732,0.999914567,0.999914758,0.999998992,0.999999018,0.999998827
Bi-Objective BBOB_2_12_4,0.972347947,0.865167783,0.86420608,0.865048439,0.8897718,0.889649062,0.888782748
Bi-Objective BBOB_2_12_5,0.908760849,0.893516907,0.894044857,0.893747174,0.983225574,0.983478959,0.98380653
Bi-Objective BBOB_2_12_6,0.95100455,0.950690621,0.95079847,0.9505258,0.999669897,0.999496585,0.999783303
Bi-Objective BBOB_2_12_7,0.999977426,0.960285804,0.959984785,0.960213154,0.960307482,0.96023483,0.960006456
Bi-Objective BBOB_2_12_8,0.995578052,0.995554059,0.995531007,0.995537514,0.9999759,0.999959282,0.999952746
Bi-Objective BBOB_2_12_9,0.927643403,0.927539171,0.926595706,0.927431321,0.999887637,0.999771376,0.998870582
Bi-Objective BBOB_2_13_1,0.944888481,0.907569158,0.618772326,0.924441357,0.960503992,0.978360278,0.65486281
Bi-Objective BBOB_2_13_10,0.999981683,0.999974192,0.967723676,0.999978351,0.999992509,0.999996668,0.967741403
Bi-Objective BBOB_2_13_2,0.999759638,0.999612957,0.997802329,0.999663742,0.999853283,0.999904081,0.99804222
Bi-Objective BBOB_2_13_3,0.999951137,0.999908994,0.913096748,0.999902456,0.999957855,0.999951317,0.913141367
Bi-Objective BBOB_2_13_4,0.999963192,0.999957693,0.999962187,0.99996059,0.999994501,0.999997397,0.999998995
Bi-Objective BBOB_2_13_5,0.999818305,0.999815065,0.999816461,0.999816369,0.99999676,0.999998064,0.999998155
Bi-Objective BBOB_2_13_6,0.999786254,0.999655192,0.999100338,0.999699938,0.99986891,0.999913666,0.999313937
Bi-Objective BBOB_2_13_7,0.998281929,0.998277053,0.997712243,0.998278016,0.999995116,0.99999608,0.999429334
Bi-Objective BBOB_2_13_8,0.98626313,0.978071109,0.929395003,0.980732542,0.991693879,0.994392381,0.942339803
Bi-Objective BBOB_2_13_9,0.999837953,0.999725861,0.99789185,0.999754881,0.999887889,0.999916914,0.998053581
Bi-Objective BBOB_2_14_1,0.912474503,0.908657425,0.535438496,0.909546003,0.995816784,0.996790595,0.58679831
Bi-Objective BBOB_2_14_10,0.980393179,0.969102693,0.939943159,0.969806605,0.988483717,0.989201705,0.958741023
Bi-Objective BBOB_2_14_2,0.997754602,0.996220094,0.987044675,0.996421237,0.998462038,0.998663634,0.989265971
Bi-Objective BBOB_2_14_3,0.966433483,0.960604142,0.816267505,0.963077894,0.993968192,0.996527864,0.844618403
Bi-Objective BBOB_2_14_4,0.982900075,0.966371019,0.96176712,0.966527131,0.983183381,0.983342209,0.978499386
Bi-Objective BBOB_2_14_5,0.987028385,0.98535131,0.916077014,0.985845387,0.998300885,0.998801455,0.92811618
Bi-Objective BBOB_2_14_6,0.989626579,0.986477415,0.943288786,0.987546603,0.996817826,0.997898221,0.953176487
Bi-Objective BBOB_2_14_7,0.888026643,0.884060883,0.335718305,0.885179913,0.995534188,0.996794319,0.378049811
Bi-Objective BBOB_2_14_8,0.785490556,0.78298902,0.425661043,0.783760235,0.99681532,0.997797146,0.541904724
Bi-Objective BBOB_2_14_9,0.999595374,0.998493561,0.997633356,0.998506463,0.998897741,0.998910648,0.998037188
Bi-Objective BBOB_2_15_1,0.978329958,0.96124473,0.961031922,0.961090245,0.982536333,0.982378427,0.982318812
Bi-Objective BBOB_2_15_10,0.932483359,0.932257866,0.930813564,0.9321678,0.999758181,0.999661593,0.998209303
Bi-Objective BBOB_2_15_2,0.941436985,0.941220606,0.940445197,0.94127225,0.999770161,0.999825017,0.998946517
Bi-Objective BBOB_2_15_3,0.998672058,0.998649201,0.998310487,0.998455381,0.999977113,0.999783035,0.999637948
Bi-Objective BBOB_2_15_4,0.82507963,0.824797569,0.700260932,0.824472741,0.99965814,0.999264447,0.848719211
Bi-Objective BBOB_2_15_5,0.988337565,0.988323366,0.988308219,0.988314734,0.999985634,0.999976899,0.999970308
Bi-Objective BBOB_2_15_6,0.969099569,0.96904722,0.968211694,0.96900467,0.999945982,0.999902075,0.999083815
Bi-Objective BBOB_2_15_7,0.982639482,0.982575259,0.982066263,0.982502726,0.999934642,0.999860828,0.999416654
Bi-Objective BBOB_2_15_8,0.925538671,0.925441748,0.924259343,0.925233942,0.99989528,0.999670755,0.998617748
Bi-Objective BBOB_2_15_9,0.985677211,0.985637616,0.985462595,0.985646495,0.99995983,0.999968837,0.999782266
Bi-Objective BBOB_2_16_1,0.981136806,0.978397868,0.304341119,0.978891746,0.997208403,0.997711777,0.310192337
Bi-Objective BBOB_2_16_10,0.928290355,0.917548084,0.138611923,0.91870468,0.988427898,0.98967384,0.149319577
Bi-Objective BBOB_2_16_2,0.965606294,0.960949711,0.194787692,0.962307232,0.995177555,0.99658343,0.20172579
Bi-Objective BBOB_2_16_3,0.959401187,0.949442851,0.159898422,0.9480815,0.989620259,0.9882013,0.166664816
Bi-Objective BBOB_2_16_4,0.99534557,0.992956754,0.149066789,0.99353936,0.997600013,0.998185344,0.149763855
Bi-Objective BBOB_2_16_5,0.99904323,0.998644376,0.382921422,0.998834197,0.999600764,0.999790767,0.38328814
Bi-Objective BBOB_2_16_6,0.139769187,0.136475698,0,0.134434629,0.97643623,0.96183309,0
Bi-Objective BBOB_2_16_7,0.997713549,0.997096511,0.129013357,0.997209468,0.999381548,0.999494764,0.129309015
Bi-Objective BBOB_2_16_8,0.968081587,0.961073665,0.202840112,0.962623245,0.992761021,0.994361692,0.209527911
Bi-Objective BBOB_2_16_9,0.971216965,0.964231268,0.026233592,0.966948386,0.992807274,0.995604917,0.027011052
Bi-Objective BBOB_2_17_1,0.979958736,0.979936051,0.703479615,0.979941299,0.999976851,0.999982206,0.717866568
Bi-Objective BBOB_2_17_10,0.998456597,0.998307886,0.348708597,0.998112997,0.999851059,0.999655869,0.349247627
Bi-Objective BBOB_2_17_2,0.942990268,0.942197812,0.379206847,0.942906355,0.999159635,0.999911014,0.402132302
Bi-Objective BBOB_2_17_3,0.94172698,0.941519051,0.191570311,0.94166415,0.999779205,0.999933282,0.203424469
Bi-Objective BBOB_2_17_4,0.766767768,0.764291777,0.062586264,0.765900949,0.996770873,0.998869516,0.081623494
