roop,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174,s175,s176,s177,s178,s179,s180,s181,s182,s183,s184,s185,s186,s187,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200
1,0.761198234,0.860583907,0.487968926,0.152675327,0.925398439,0.685396412,0.040032624,0.923065666,0.841731777,0.09113715,0.351681425,0.458658171,0.374669316,0.256485956,0.503166184,0.719775589,0.160834873,0.8305796,0.724273281,0.357852898,0.57208921,0.857203636,0.132069163,0.31074413,0.42309535,0.173333111,0.365259487,0.623221405,0.610235477,0.555648237,0.483202989,0.788774465,0.021080764,0.183718445,0.679229656,0.899681261,0.246327715,0.989877911,0.300744274,0.380810325,0.224921079,0.781310335,0.53413994,0.340508922,0.070505984,0.412274047,0.241256001,0.003337936,0.395082987,0.461113352,0.13925392,0.328952137,0.305806476,0.974360622,0.975923915,0.906534002,0.427649081,0.873642178,0.051638723,0.602613913,0.084920408,0.142852275,0.20347711,0.893762396,0.72720942,0.127706341,0.960528594,0.26292574,0.672626753,0.853864668,0.391705087,0.953784799,0.101470343,0.239647028,0.942729361,0.96801494,0.124373194,0.939891757,0.50505982,0.404268632,0.683403555,0.981388637,0.996982478,0.278547263,0.289018699,0.916949137,0.883956908,0.902329067,0.933598324,0.629076614,0.823964695,0.807042088,0.912350806,0.19769771,0.797007506,0.836315143,0.377295742,0.009880453,0.847842901,0.032743173,0.269089725,0.86916793,0.828249621,0.711485416,0.229445903,0.691706954,0.645853184,0.317510119,0.875534753,0.105093554,0.386765717,0.116629411,0.801008248,0.773213597,0.642633994,0.766691857,0.790879329,0.441340729,0.068102709,0.510500875,0.697168605,0.493186631,0.111549619,0.448454609,0.217031341,0.949264934,0.495838621,0.017566525,0.036449211,0.632649204,0.564051675,0.755285505,0.567856455,0.579419801,0.337621744,0.992789927,0.957322314,0.475296767,0.297107281,0.474259805,0.550935671,0.541789027,0.049665454,0.59920837,0.185871246,0.885779374,0.064933824,0.519252101,0.029375221,0.658648304,0.193966215,0.738615179,0.348781267,0.815018146,0.089926654,0.234197316,0.454278518,0.059842016,0.753581417,0.520375558,0.665090709,0.159326951,0.416400176,0.212861994,0.653914931,0.702376375,0.01179095,0.179673276,0.615462056,0.075318208,0.433069973,0.096962593,0.283319107,0.747115481,0.149173344,0.291698946,0.586612604,0.81104526,0.361680633,0.525039211,0.733913453,0.778786735,0.661274201,0.740222587,0.439220631,0.609855808,0.169875012,0.254142458,0.707388924,0.207459085,0.272295894,0.323282209,0.33481745,0.405757165,0.468905301,0.581114125,0.546349633,0.535306289,0.637257856,0.593823307
1,0.241743007,0.923668398,0.521629134,0.125650007,0.29769365,0.254115292,0.776876901,0.34995713,0.636735245,0.393716348,0.049414579,0.066134727,0.696174501,0.873908597,0.449556117,0.833943389,0.499567406,0.33660683,0.018484731,0.515280972,0.761959258,0.739477864,0.58278742,0.174626878,0.188489504,0.425607072,0.184172224,0.025139198,0.590095605,0.152119769,0.771056929,0.362340879,0.199016694,0.042087903,0.689849268,0.883498237,0.050701835,0.965589645,0.024409129,0.943981333,0.110444116,0.629310179,0.064493354,0.08910208,0.009035795,0.058756868,0.176665446,0.118633166,0.134968877,0.15870011,0.091432946,0.228939712,0.458573889,0.856332626,0.26957197,0.956172847,0.618662427,0.031546086,0.077216733,0.099816376,0.137618142,0.162789343,0.224522166,0.309910342,0.373026805,0.230829619,0.204434669,0.258951452,0.000126802,0.38288575,0.460002552,0.7949345,0.432350108,0.323270314,0.037525683,0.329643312,0.643767511,0.108303295,0.123093009,0.552952769,0.070595935,0.477154644,0.388198194,0.397537401,0.533881171,0.724531532,0.801467027,0.238569553,0.412488022,0.169174902,0.588502596,0.010568671,0.481501533,0.37750073,0.2797524,0.208469145,0.288963307,0.897185457,0.90993466,0.291671298,0.599701244,0.100429076,0.450190692,0.284793097,0.440016902,0.144150444,0.421959454,0.332234662,0.542382463,0.997279624,0.359267921,0.300453334,0.082541206,0.145924436,0.317811339,0.219023859,0.95362837,0.313047288,0.351294117,0.193422295,0.214180983,0.260077459,0.50519758,0.419120153,0.510413539,0.548691734,0.368046187,0.400352144,0.467321108,0.246239158,0.274839734,0.436021219,0.341294907,0.408138084,0.61403483,0.604538392,0.660208064,0.489467861,0.665366654,0.555368751,0.471799509,0.56638724,0.539869668,0.525473715,0.577302997,0.655204531,0.609126487,0.632441644,0.6723299,0.492886936,0.645298781,0.500889018,0.727695895,0.677884946,0.706032866,0.702368499,0.690449917,0.946342951,0.572459521,0.712355435,0.564825555,0.732219456,0.744948331,0.76885217,0.842464437,0.621015786,0.816531489,0.980760045,0.651655126,0.822051856,0.812762931,0.88887651,0.759648536,0.68179656,0.837904841,0.985411655,0.715084437,0.78308496,0.796183841,0.805091597,0.75324332,0.846690894,0.745875053,0.900260989,0.976254669,0.789286233,0.91274373,0.938324811,0.964025124,0.86275741,0.829147891,0.932514638,0.868266167,0.879765144,0.918594443,0.852248258,0.99406758,0.894789556,0.971626374,0.925904034
2,0.415465923,0.45000128,0.318906716,0.498118806,0.874169275,0.264352029,0.838591737,0.690818978,0.364283596,0.243566799,0.605740284,0.749113486,0.177135976,0.048135863,0.428451426,0.849597743,0.126881118,0.766551257,0.938274047,0.305700251,0.068069587,0.646212227,0.494590982,0.941184371,0.620182711,0.901863375,0.328762834,0.483066934,0.42062393,0.861861543,0.103342397,0.192828955,0.051440015,0.133678268,0.739563854,0.18698508,0.520088649,0.931757865,0.664597459,0.292053567,0.029220532,0.032969858,0.550371674,0.119819801,0.080120851,0.818842146,0.485051903,0.184562467,0.093138507,0.402876066,0.359278949,0.152212554,0.388425663,0.247294554,0.952996051,0.040115472,0.204315377,0.111138363,0.50055115,0.46650178,0.231375438,0.21138626,0.610864759,0.440596849,0.540276802,0.061363544,0.431486547,0.538536367,0.273729911,0.681738527,0.284549275,0.575571955,0.891030245,0.251868592,0.010656493,0.301434059,0.948431319,0.146564347,0.595698047,0.369101785,0.750088855,0.733852813,0.25669216,0.208278931,0.07197077,0.66751453,0.573135836,0.64281267,0.27867044,0.688195236,0.511744874,0.526261143,0.32096829,0.562564886,0.672793341,0.626432951,0.965849138,0.075542144,0.98226945,0.590176919,0.650557742,0.910846919,0.224132157,0.007342049,0.706880113,0.055581597,0.172099569,0.136444425,0.199958383,0.814161709,0.376901392,0.698456277,0.004112707,0.77804521,0.020087096,0.098601982,0.770460573,0.915968761,0.122300892,0.03866094,0.16282564,0.725645066,0.844282325,0.105870486,0.017553431,0.884339371,0.085735414,0.143890746,0.16883617,0.970765814,0.920680855,0.314837473,0.975521335,0.217483679,0.602663179,0.655562395,0.990423634,0.158287256,0.476300303,0.346496512,0.237844244,0.227471651,0.460559558,0.958368763,0.266663373,0.392563341,0.964270193,0.988687306,0.396710431,0.801789084,0.287103418,0.995579964,0.715907497,0.852545754,0.906250451,0.877363975,0.897805336,0.833159148,0.335246472,0.926328394,0.827224951,0.780743934,0.408487809,0.887740576,0.858424561,0.333374653,0.75879745,0.785221433,0.792498952,0.806149677,0.866463469,0.340944433,0.384426087,0.296779504,0.353831367,0.798851506,0.824660922,0.413030543,0.743747337,0.588485674,0.558093031,0.720052084,0.764335682,0.533830217,0.619261418,0.47204181,0.456061458,0.37455891,0.710293797,0.701403752,0.445633722,0.677713076,0.439538799,0.633504708,0.581430424,0.509719846,0.547219372,0.518890202,0.565869001,0.638617165
2,0.395532172,0.511422622,0.857556869,0.721763432,0.189289889,0.266775534,0.284418892,0.885874408,0.959321807,0.135082029,0.734314606,0.53019601,0.497200989,0.328742904,0.830991504,0.564555702,0.900284934,0.669477201,0.960965855,0.048122381,0.078281231,0.441851982,0.150715325,0.345178052,0.584220366,0.45169568,0.779489508,0.380318847,0.192450898,0.055707935,0.358008342,0.879036366,0.947982122,0.615720872,0.097732855,0.746036965,0.565237097,0.004972613,0.101205401,0.95295176,0.897398071,0.741297741,0.998179129,0.974651287,0.85216917,0.969241845,0.93183253,0.979779324,0.78771798,0.926923636,0.86689858,0.823090049,0.796938207,0.550451681,0.0676383,0.144483245,0.623274177,0.129450845,0.751743577,0.872212677,0.921440768,0.804393139,0.80505837,0.674927736,0.812446722,0.028488028,0.759196478,0.883475766,0.863422002,0.769580854,0.79256286,0.940363346,0.988939234,0.729586213,0.229926175,0.600813035,0.421862428,0.702811863,0.627191942,0.738814799,0.991092872,0.81560362,0.658762066,0.339489425,0.611366939,0.846373159,0.52635809,0.913187295,0.168013209,0.519191435,0.426350558,0.653772695,0.681805213,0.714454379,0.589713008,0.686585098,0.130508728,0.691126341,0.223038878,0.464833179,0.981269017,0.917508537,0.46589962,0.677932611,0.936842811,0.276944509,0.556887367,0.019950266,0.149798906,0.82708933,0.641698164,0.696686213,0.609698261,0.76406924,0.377383332,0.211969315,0.90661377,0.182621116,0.309068463,0.545103862,0.081689652,0.632353219,0.893852181,0.539707908,0.44980449,0.835745535,0.436459651,0.478208853,0.414054159,0.84460697,0.780914427,0.488047545,0.637157153,0.04229034,0.391935574,0.317699113,0.771015633,0.254612518,0.506897214,0.012953912,0.403089563,0.240864751,0.57990615,0.285487746,0.091299554,0.572115326,0.705346769,0.543261653,0.501390826,0.064162948,0.350393942,0.472020203,0.409294353,0.113674911,0.661124741,0.596253214,0.373291846,0.719449601,0.417085004,0.490108227,0.648890272,0.592851108,0.432704789,0.302100544,0.483011676,0.121321585,0.007820109,0.521836628,0.458656921,0.31220452,0.231234986,0.196026721,0.070411456,0.259347256,0.33068841,0.386833694,0.177288203,0.368752491,0.340814096,0.321370479,0.022280295,0.274465097,0.207555945,0.360560511,0.2466715,0.200608405,0.038148659,0.263766699,0.159798971,0.051413964,0.106629339,0.215163503,0.295552723,0.033860408,0.089455773,0.290391166,0.235539846,0.119115937,0.171556995,0.160469
3,0.19214883,0.31274271,0.57340705,0.244294002,0.122658026,0.159745704,0.428582808,0.448304283,0.523400784,0.045772215,0.814075323,0.714425277,0.755032472,0.17090902,0.621653658,0.2461716,0.372113401,0.377204459,0.066944497,0.975892281,0.297231086,0.651289692,0.547152668,0.924990354,0.113524522,0.51738212,0.915265028,0.848559407,0.786664771,0.467550537,0.359111213,0.152612274,0.271709493,0.741444087,0.671632462,0.382623327,0.953532094,0.500918141,0.9606727,0.827368795,0.215179999,0.031547667,0.360511911,0.288861425,0.969045471,0.69747572,0.665308166,0.254475424,0.05109513,0.014258909,0.094456851,0.041210483,0.100019092,0.890484977,0.025554952,0.118445097,0.578736545,0.856146561,0.166577631,0.019299729,0.258592085,0.089908584,0.23943879,0.023032203,0.147397956,0.133149257,0.038359239,0.497732503,0.752896526,0.003746893,0.163568416,0.063802635,0.109614407,0.055704164,0.176479028,0.607102669,0.208218486,0.222020358,0.096182726,0.128367982,0.582534352,0.480144675,0.076751582,0.008383193,0.294420726,0.084772256,0.269207161,0.07215405,0.19776702,0.137517043,0.99749947,0.338328145,0.432305152,0.404501719,0.905006592,0.331427316,0.18541464,0.144395213,0.227564329,0.201351811,0.302538967,0.340499199,0.182787715,0.686044959,0.898840087,0.325460794,0.264746097,0.214106219,0.701101494,0.390518611,0.566603423,0.442544535,0.316656891,0.385931405,0.748860883,0.410347998,0.324830094,0.970568795,0.993199396,0.346322485,0.472306757,0.540493163,0.615642855,0.396896887,0.555322543,0.763923846,0.408869261,0.478024868,0.942420554,0.452389761,0.367981796,0.418523746,0.639936863,0.231596568,0.455269357,0.282734265,0.804069877,0.275000639,0.511896858,0.489013394,0.436801358,0.599417415,0.799949331,0.530227197,0.866028062,0.306409404,0.844344691,0.508636944,0.904173515,0.690736039,0.648908229,0.353270652,0.603809693,0.539279647,0.934483773,0.630876745,0.736792741,0.805143331,0.853271139,0.657256767,0.73392368,0.68313894,0.724834321,0.587576535,0.460234916,0.550244648,0.527283874,0.879214234,0.424875567,0.935919364,0.791524711,0.628760951,0.494526739,0.832289075,0.560337423,0.590753833,0.958646941,0.860784358,0.768854533,0.819294714,0.614241239,0.640717222,0.987514279,0.88963293,0.67748685,0.927555281,0.663100135,0.871530483,0.709506472,0.770899583,0.823084395,0.777188968,0.728817242,0.718793785,0.982711116,0.781378157,0.884228241,0.835006304,0.910312483,0.948673298
3,0.438323373,0.954987835,0.481959499,0.835582167,0.791628888,0.662981252,0.772416415,0.086376424,0.582754288,0.075568541,0.96979737,0.901255747,0.53160666,0.694710367,0.268797604,0.38564222,0.253386652,0.369773692,0.013096936,0.336107083,0.449445075,0.416150821,0.830439829,0.344385626,0.212789914,0.911255131,0.226816133,0.789566682,0.128775668,0.192632509,0.476801035,0.102693933,0.206455935,0.673469785,0.140622211,0.585226444,0.51966083,0.000389881,0.860550766,0.929635819,0.248758103,0.11318219,0.994174097,0.258583368,0.200320014,0.624687169,0.894383864,0.318531479,0.219699925,0.562490562,0.740876282,0.34679251,0.152115782,0.941025031,0.769960556,0.402450967,0.999690592,0.881443435,0.175306591,0.288054312,0.970830724,0.280091673,0.168647008,0.851268236,0.313615901,0.688471772,0.699482878,0.963301023,0.009213113,0.626750696,0.764496377,0.440101343,0.037063117,0.51467294,0.040829736,0.93019978,0.359575056,0.096778715,0.840465077,0.502535561,0.865561727,0.87316961,0.643196014,0.936920837,0.109326395,0.976383715,0.886072108,0.906918838,0.425525531,0.600002161,0.068753537,0.156975854,0.987573186,0.924525007,0.826746052,0.915779985,0.957603599,0.898189985,0.490172236,0.855417156,0.486058962,0.024024266,0.548192791,0.982013668,0.759063175,0.849700077,0.816898953,0.714889688,0.055000145,0.073690828,0.30603211,0.814817925,0.4068529,0.410104202,0.949765012,0.230085809,0.775498872,0.79511306,0.727490961,0.325580923,0.050193146,0.049900291,0.808104482,0.739300122,0.239363953,0.877937951,0.135745318,0.130718354,0.025815202,0.433661187,0.645412306,0.300516946,0.033212041,0.596411377,0.707517909,0.721363688,0.820143115,0.652999085,0.781118906,0.299599059,0.639860553,0.094571051,0.06387407,0.172663509,0.019274052,0.593360743,0.115425676,0.65940282,0.082185296,0.801996716,0.745133478,0.536966004,0.160525651,0.718663242,0.145824667,0.223403488,0.733723852,0.752561683,0.703441203,0.679384514,0.122395631,0.271610919,0.195483802,0.66506408,0.364725183,0.458687582,0.39006346,0.185594693,0.525273322,0.680481186,0.183092078,0.607503655,0.542638604,0.241042448,0.569161134,0.375736128,0.261943005,0.630073378,0.616282887,0.57362888,0.52444467,0.330887894,0.575348424,0.292099568,0.552288864,0.610637385,0.473090764,0.37214129,0.354350537,0.278392491,0.322560591,0.384860351,0.496828445,0.424931079,0.461438729,0.453651903,0.555113393,0.506134541,0.468768738,0.398116983
4,0.519671688,0.167476192,0.799429931,0.785654156,0.464712751,0.358911838,0.288722149,0.241498301,0.606826856,0.584942655,0.436400569,0.800664702,0.093337513,0.719373657,0.343363823,0.84226354,0.689806186,0.404694076,0.235825464,0.909875072,0.728162521,0.720826406,0.372114907,0.509517241,0.213716525,0.061664129,0.027313645,0.156706765,0.140033899,0.2777056,0.512834947,0.67545528,0.114062387,0.16382664,0.057673445,0.012783537,0.483960025,0.086556721,0.01841267,0.853166768,0.002066572,0.971864032,0.203336794,0.126800178,0.077868906,0.470609075,0.040744457,0.217626758,0.109280869,0.31166863,0.767438136,0.331451539,0.557904659,0.991390202,0.259899864,0.262998909,0.082231411,0.915102057,0.183317567,0.385490407,0.537133885,0.408473629,0.34888626,0.130633868,0.867758017,0.046905271,0.172317615,0.118589335,0.146619561,0.073378609,0.819785741,0.097172116,0.246268652,0.189323595,0.022370553,0.199707668,0.15409119,0.985701152,0.280806038,0.495709388,0.251911562,0.394956857,0.038867736,0.176529296,0.290017378,0.054519843,0.770079967,0.940874774,0.748223411,0.00800283,0.223577286,0.626693683,0.871682867,0.302452783,0.274026778,0.360315686,0.033535768,0.205730886,0.337585993,0.066099822,0.369371399,0.640501631,0.123863767,0.383777423,0.353729849,0.533308828,0.100602282,0.137938861,0.431746407,0.321069428,0.194883848,0.421678887,0.410923185,0.657208896,0.425872777,0.228479348,0.41545292,0.587727645,0.231848572,0.49411965,0.455335845,0.298066409,0.756075379,0.327777306,0.476422909,0.26866764,0.468059002,0.503560289,0.308187123,0.397558024,0.316053417,0.949527764,0.528597147,0.896009717,0.572633444,0.67315156,0.541054317,0.486338623,0.836393201,0.56741479,0.828249678,0.44380109,0.832925768,0.376987145,0.976637903,0.780386802,0.637750656,0.448288811,0.454412477,0.823120136,0.914214213,0.562085483,0.901643258,0.649672983,0.713602387,0.596872678,0.520907959,0.579544075,0.590104963,0.660938487,0.600343199,0.669844872,0.7006573,0.752502217,0.545050218,0.550722828,0.620047031,0.618518785,0.68437226,0.881050172,0.951091198,0.776643056,0.858970661,0.811955834,0.925395074,0.981973476,0.708349544,0.737232019,0.846437811,0.760547999,0.652287693,0.614048802,0.958583621,0.632217752,0.923371595,0.69808555,0.960983637,0.691759561,0.733073753,0.791589151,0.888160394,0.93585725,0.861772553,0.99568535,0.741938591,0.967538813,0.809177813,0.876454453,0.894220842,0.932430794
4,0.90031023,0.291751837,0.911933575,0.562844408,0.373003531,0.419973575,0.762299389,0.470552031,0.85131736,0.53022558,0.576650725,0.692387207,0.621418037,0.271452073,0.109321779,0.48175985,0.165226371,0.819419479,0.946495332,0.163638335,0.033306407,0.312342352,0.789111999,0.632763708,0.402898491,0.227280405,0.343689027,0.522870751,0.303481789,0.412115072,0.100400823,0.065208337,0.233544646,0.735222115,0.28771949,0.01398841,0.255773774,0.361201862,0.203267227,0.83369026,0.083546304,0.045119934,0.306867134,0.664140599,0.087060113,0.983120923,0.138947537,0.152052594,0.14188758,0.221003853,0.295225696,0.352015751,0.973195113,0.383807599,0.34760622,0.275747787,0.434424043,0.847832971,0.978353277,0.264160452,0.240425584,0.195047471,0.158178737,0.475149161,0.899329894,0.499602029,0.09879254,0.016961269,0.391662092,0.959855768,0.246277667,0.547165015,0.205377333,0.029193081,0.752457345,0.454926768,0.594879003,0.822807649,0.145881322,0.921066257,0.024662012,0.40711267,0.612549901,0.906079229,0.078110024,0.681490511,0.989054207,0.768548517,0.120452004,0.939764744,0.608321994,0.037284456,0.772795164,0.990044928,0.879484531,0.056478441,0.872982354,0.67554778,0.468310603,0.807712723,0.968966783,0.951223744,0.866676752,0.700664228,0.894261861,0.053564867,0.73172999,0.799330844,0.463768587,0.828413452,0.838250853,0.328609238,0.005121612,0.803414156,0.931113584,0.516488004,0.86117683,0.092902654,0.778355763,0.338681265,0.063435122,0.529650687,0.193316699,0.757920412,0.535017228,0.719499419,0.131191103,0.445639242,0.598853143,0.558533415,0.669033074,0.943654586,0.174758605,0.996317073,0.435888944,0.427052355,0.512861252,0.843182473,0.961646816,0.889994092,0.041124974,0.782519731,0.112189392,0.628763592,0.698566392,0.915953564,0.882637349,0.644303331,0.71033003,0.18474022,0.0019093,0.583715741,0.070251814,0.12986822,0.926917092,0.177680153,0.72909992,0.790708753,0.722194189,0.212447726,0.250887727,0.281124679,0.856037783,0.81473727,0.65812591,0.366273416,0.501051818,0.332262502,0.358612743,0.216649435,0.115206143,0.747338606,0.707306575,0.651439467,0.64526834,0.602999737,0.743371247,0.674678263,0.58653532,0.550268064,0.689465383,0.636430745,0.491558796,0.573493467,0.568944767,0.617381341,0.187516677,0.541191224,0.486565799,0.459066366,0.505880377,0.421310007,0.442695739,0.237598829,0.396034607,0.317915294,0.385793496,0.377197667,0.32289094,0.266189714
5,0.116441554,0.403184525,0.732995625,0.049594887,0.166236066,0.063131794,0.923928515,0.750465168,0.548994121,0.838735017,0.523872417,0.502053423,0.145097417,0.475736851,0.95770259,0.859993882,0.206134367,0.739177962,0.602375723,0.677348726,0.539000741,0.89685174,0.438741029,0.449622191,0.237692293,0.82556324,0.685483053,0.615553867,0.710815553,0.010198655,0.832832085,0.126491559,0.32245678,0.085033747,0.96002381,0.614067146,0.025933244,0.217002733,0.162882924,0.597141459,0.894561293,0.303935926,0.290432926,0.682509571,0.373735267,0.035318283,0.633565763,0.94557834,0.13034777,0.405618505,0.930334599,0.094016766,0.260431896,0.965768995,0.24056832,0.586990261,0.647967367,0.637448835,0.008698605,0.568265168,0.703367816,0.498047153,0.888216647,0.389332394,0.072324938,0.592150963,0.050166509,0.75598828,0.655305885,0.015208458,0.139620614,0.773154987,0.079123638,0.083165449,0.151709594,0.201177503,0.457321178,0.761625555,0.227819536,0.510069852,0.338508024,0.492453449,0.197850191,0.186030415,0.247518819,0.00276656,0.27264739,0.421318038,0.860299669,0.999444641,0.265591822,0.993359898,0.350259405,0.382624224,0.815787145,0.059476892,0.311881633,0.723683406,0.485180977,0.33337321,0.850327104,0.900196727,0.747944902,0.120005399,0.938428133,0.970725279,0.327035251,0.109808887,0.794312792,0.914895152,0.982736636,0.654106234,0.78061636,0.392163509,0.664552939,0.608079783,0.845545118,0.709984495,0.952691711,0.666960221,0.349261012,0.807098251,0.18402969,0.944311133,0.043471771,0.533446173,0.87979812,0.178817238,0.72632589,0.798815854,0.812702502,0.254324803,0.317472012,0.716944113,0.672799896,0.97666197,0.461171836,0.929497165,0.985896568,0.309972607,0.375189214,0.45447935,0.159586449,0.870614282,0.023590326,0.194365862,0.221603939,0.884800118,0.233926761,0.919934837,0.110269643,0.097532913,0.789149261,0.694240055,0.032087812,0.740667789,0.066856491,0.29642885,0.906432527,0.526534548,0.429401966,0.257486051,0.170137913,0.869661154,0.824559707,0.287755642,0.843118968,0.365048639,0.101216829,0.363959373,0.779056028,0.141230663,0.484887844,0.575825468,0.214707244,0.800946276,0.554434242,0.284272486,0.468225148,0.278117898,0.41579666,0.555357187,0.624790405,0.357354328,0.765042985,0.342362246,0.571723034,0.515946629,0.695877829,0.643924006,0.39734703,0.431395524,0.413416127,0.584408219,0.442662075,0.625288183,0.473303726,0.505278189,0.544610636,0.562828364
5,0.179913921,0.927849123,0.304070991,0.080029187,0.620664659,0.272549457,0.399198726,0.275542784,0.795102683,0.087245283,0.138006893,0.618938346,0.807366109,0.550284424,0.56485435,0.688711335,0.896483937,0.223123068,0.918558067,0.717161699,0.756211213,0.820273114,0.772104923,0.196759302,0.074894702,0.344492978,0.500225838,0.132542282,0.602506624,0.625207774,0.847911023,0.406672867,0.903065587,0.609405112,0.995462789,0.015769592,0.856559097,0.968161544,0.247174538,0.373208402,0.266609678,0.976109653,0.570793077,0.00598959,0.986574956,0.736988633,0.514619793,0.091563521,0.950967525,0.119702957,0.20508977,0.70012569,0.905974524,0.393520997,0.527102348,0.7141092,0.888861035,0.959138586,0.964548529,0.853324419,0.972055204,0.991699512,0.040418952,0.921299229,0.942436432,0.786269173,0.518947422,0.933055816,0.767937284,0.361853166,0.647795019,0.862593882,0.803848678,0.870786398,0.86640483,0.676794624,0.935321588,0.79185521,0.597970976,0.891131208,0.012881573,0.82879134,0.819662244,0.754302609,0.726557962,0.468524713,0.839701644,0.843386512,0.980125182,0.699623905,0.658123432,0.452288727,0.831131101,0.764513373,0.033425642,0.422583444,0.775062498,0.73065415,0.746244331,0.637890459,0.913265398,0.144754162,0.048180599,0.536493038,0.32416763,0.948187487,0.70863831,0.474208464,0.114665014,0.881846566,0.877002549,0.060716331,0.182159031,0.692416838,0.644314097,0.58619441,0.784425416,0.106455812,0.811938174,0.160028097,0.558310511,0.723122444,0.402809563,0.743335497,0.051381767,0.665737205,0.213097846,0.478496733,0.663034186,0.654065047,0.240204772,0.462863671,0.485541551,0.317912436,0.565194892,0.521379062,0.680584186,0.674687713,0.594614043,0.314045466,0.459293472,0.611180421,0.336065052,0.498699257,0.288553291,0.024906715,0.264163163,0.356282558,0.350184024,0.582160383,0.055007255,0.296744877,0.305854888,0.239976225,0.153963354,0.544932875,0.233767906,0.383182981,0.430091707,0.530011252,0.54838633,0.004603091,0.185638709,0.631497768,0.57534942,0.06685223,0.410344689,0.38889625,0.172184739,0.250816893,0.377679204,0.124354707,0.102273645,0.483075169,0.126555888,0.50760595,0.026105883,0.22935745,0.493011909,0.156442191,0.038458686,0.095365874,0.215402207,0.076022176,0.445206952,0.149752266,0.167922891,0.204232833,0.443475506,0.333452967,0.191728977,0.256752033,0.327902259,0.291068178,0.427384978,0.43825592,0.36824422,0.284953208,0.34633656,0.418253071
