run,medium_25d
1,0.784482759
2,0.804367816
3,0.794597701
4,0.767241379
5,0.770229885
6,0.759885057
7,0.774367816
8,0.763563218
9,0.777356322
10,0.774137931
11,0.760689655
12,0.794482759
13,0.766896552
14,0.784482759
15,0.763908046
16,0.777816092
17,0.798045977
18,0.777701149
19,0.777701149
20,0.78045977
21,0.791494253
22,0.770689655
23,0.777931034
24,0.777356322
25,0.777586207
26,0.773908046
27,0.780574713
28,0.787586207
29,0.784022989
30,0.784252874
31,0.787701149
