run,medium_25d,medium_50d,large_25d,large_50d,S-ELA
1,0.996932996,0.994982557,0.996919886,0.993702668,0.997116931
2,0.996915349,0.995000624,0.993645148,0.99379434,0.997125074
3,0.996931956,0.99691521,0.991759344,0.988768447,0.99712405
4,0.99694163,0.996870559,0.993709213,0.995103746,0.997102196
5,0.99510861,0.996881635,0.995019664,0.993684264,0.997149232
6,0.996924186,0.996950355,0.993708328,0.991809621,0.997042368
7,0.996926275,0.996880099,0.993709562,0.990570061,0.997135741
8,0.995135702,0.996916879,0.991860092,0.996848164,0.997121209
9,0.99697076,0.996889649,0.996888602,0.993674316,0.99707998
10,0.996933622,0.99688241,0.995060053,0.996917052,0.997067749
11,0.996923533,0.996869023,0.996928789,0.995046751,0.997080213
12,0.996924718,0.996851618,0.996922529,0.993972345,0.99712798
13,0.996927925,0.996900588,0.993671575,0.991952153,0.997100092
14,0.996938364,0.995059695,0.993677895,0.993961389,0.997147103
15,0.995075884,0.99691903,0.993740646,0.996912152,0.997122162
16,0.996913366,0.996884315,0.996873736,0.993867447,0.997168599
17,0.996934554,0.996943656,0.996906766,0.993846863,0.997115928
18,0.996944932,0.996879127,0.993689606,0.988866833,0.997108891
19,0.996939825,0.996853239,0.995060053,0.993824823,0.997121128
20,0.995064429,0.996838584,0.996882355,0.990600941,0.997121989
21,0.996940733,0.996960305,0.995055013,0.996922022,0.997129076
22,0.9950514,0.996941019,0.99181694,0.996888078,0.997155515
23,0.996904325,0.996932076,0.993724552,0.993834353,0.996356352
24,0.995153905,0.995047429,0.991861107,0.988856359,0.997061641
25,0.996962055,0.996918599,0.995094467,0.994004937,0.997109365
26,0.996933622,0.996935897,0.996864258,0.993860342,0.997127557
27,0.995068435,0.996834557,0.995027363,0.996909566,0.997135794
28,0.996920874,0.996878225,0.995042321,0.991886872,0.997136496
29,0.996913654,0.996922804,0.991807088,0.99383269,0.997131703
30,0.996939368,0.996913806,0.996921963,0.993824823,0.997075497
31,0.996966665,0.994981043,0.99688827,0.995116896,0.997149565
