run,medium_25d,medium_50d,large_25d,large_50d,S-ELA
1,0.999764401,0.965695899,0.999858129,0.932821147,0.999406445
2,0.999796792,0.939479083,0.843433972,0.898507813,0.999741835
3,0.999767292,0.999862613,0.873265099,0.794349518,0.999636642
4,0.999735285,0.999897924,0.843334017,0.965832746,0.999837088
5,0.973958722,0.999843322,0.891282101,0.937353909,0.999719287
6,0.999786812,0.999873031,0.882727106,0.860018676,0.999830952
7,0.999473093,0.999834181,0.921771903,0.800847727,0.999768927
8,0.9771423,0.999754269,0.798463178,0.999667081,0.999678152
9,0.999687541,0.999861043,0.999813798,0.843687632,0.999592673
10,0.9997237,0.999749622,0.969681734,0.999759625,0.999780173
11,0.999791977,0.999656227,0.999822712,0.980430341,0.999853213
12,0.999782619,0.999483614,0.999857874,0.934567869,0.99976548
13,0.999715555,0.999870797,0.865880052,0.895775424,0.999625242
14,0.999804372,0.954474191,0.947795843,0.869474976,0.999754781
15,0.969603164,0.999819848,0.921831838,0.999814389,0.999629766
16,0.999700728,0.999860514,0.999520968,0.942802944,0.999572545
17,0.999778748,0.999897021,0.999904077,0.956366842,0.999683896
18,0.99980553,0.999870334,0.93295074,0.840390089,0.999671499
19,0.999764075,0.999871472,0.969681734,0.869541648,0.99961348
20,0.979693521,0.99965712,0.999886122,0.814850929,0.999639684
21,0.999723283,0.999819207,0.954623308,0.999615261,0.999845127
22,0.969599792,0.999820022,0.907418046,0.999735827,0.999590249
23,0.999834618,0.999880787,0.882617234,0.956349664,0.999699307
24,0.97713105,0.95458122,0.916473803,0.894322861,0.99983283
25,0.99973494,0.999861045,0.932012047,0.843507933,0.999665386
26,0.9997237,0.999850848,0.999811177,0.95636437,0.999838875
27,0.973920813,0.999457909,0.969579673,0.999770938,0.999725058
28,0.999787977,0.999866408,0.891063838,0.907372478,0.9995973
29,0.999779001,0.999756615,0.827227911,0.949141438,0.999773817
30,0.999748603,0.999810056,0.999814103,0.869541648,0.99984193
31,0.999796377,0.973965558,0.999841282,0.960856156,0.997131217
