run,medium_25d,medium_50d,large_25d,large_50d,S-ELA
1,0.996312826,0.996666059,0.996193708,0.996374888,0.996206758
2,0.996685647,0.996433548,0.996424362,0.997082945,0.995368952
3,0.996958144,0.994883845,0.996153181,0.996433536,0.99563364
4,0.996203617,0.99639186,0.995251074,0.996601593,0.995768461
5,0.996087088,0.996463441,0.994062915,0.996356333,0.995860824
6,0.996259362,0.996355844,0.996355171,0.996770223,0.996357613
7,0.996835081,0.99661609,0.996696012,0.9964031,0.995310061
8,0.996547664,0.996148468,0.993752062,0.996959309,0.996053525
9,0.996466464,0.997015231,0.99648384,0.997048801,0.996605309
10,0.996102304,0.996939462,0.996120813,0.997016163,0.99578803
11,0.996340478,0.99640465,0.996388789,0.996599548,0.995287075
12,0.996707325,0.996589736,0.994473186,0.996424519,0.995263314
13,0.996491796,0.996602578,0.996046801,0.996674916,0.995799876
14,0.995920733,0.996282922,0.996425132,0.996410107,0.996059224
15,0.995653213,0.996599011,0.994702872,0.996570415,0.996323335
16,0.996721451,0.996369648,0.994938973,0.996636524,0.996279819
17,0.996319934,0.995754325,0.994358669,0.996325255,0.995930454
18,0.996325768,0.996992027,0.996334758,0.997194761,0.996415458
19,0.996319798,0.996682372,0.996120813,0.995929516,0.995423889
20,0.996136876,0.996785138,0.996217419,0.996544969,0.995515362
21,0.995743872,0.996464752,0.996292415,0.996228498,0.995500636
22,0.996344842,0.996434161,0.993020736,0.996457961,0.99585743
23,0.995729385,0.996252585,0.996585794,0.996293094,0.996422855
24,0.996066456,0.996372119,0.994215894,0.996423907,0.995971536
25,0.996839444,0.995394547,0.994595871,0.995864228,0.995923742
26,0.996102304,0.996402279,0.996624107,0.996617055,0.995658034
27,0.996241485,0.996382644,0.996308632,0.996657826,0.995640141
28,0.996142714,0.996087798,0.995919746,0.99673448,0.995957641
29,0.996111873,0.996589728,0.996112358,0.99643168,0.995841204
30,0.99665393,0.996227229,0.99627473,0.995929516,0.996293602
31,0.996080855,0.996936552,0.996150946,0.996776232,0.995860642
