run,medium_25d,medium_50d,large_25d,large_50d,S-ELA
1,0.996886198,0.996698461,0.996899685,0.997096165,0.997250331
2,0.996795557,0.99677005,0.996911074,0.996870225,0.99737353
3,0.996872588,0.996983827,0.996796366,0.997009449,0.997419551
4,0.99687369,0.997001039,0.997331379,0.996702847,0.997288223
5,0.997079124,0.996807911,0.997396267,0.997072249,0.997365942
6,0.996943678,0.997030565,0.996936084,0.996671467,0.997135982
7,0.996885403,0.996972073,0.996889741,0.996932513,0.99740085
8,0.996955852,0.996847933,0.997680016,0.996848432,0.997526533
9,0.996941443,0.996773369,0.996819135,0.996962572,0.997254091
10,0.996966626,0.996765404,0.997137314,0.996718692,0.997308309
11,0.996905829,0.996879728,0.996971027,0.996800424,0.997379798
12,0.996962936,0.996671642,0.997534399,0.996877389,0.997645039
13,0.996811768,0.996719849,0.996845949,0.997001395,0.997406594
14,0.997005867,0.996886267,0.996929438,0.997195682,0.99730664
15,0.997068684,0.997075394,0.99753446,0.996876206,0.997340178
16,0.996834229,0.996974671,0.997455113,0.997019423,0.997374418
17,0.99694445,0.996940566,0.997454455,0.99693986,0.997243219
18,0.996980501,0.996846025,0.996864186,0.996907889,0.997180124
19,0.997033445,0.996701647,0.997137314,0.996987124,0.997434016
20,0.996908839,0.996716259,0.9969591,0.997042623,0.997274025
21,0.996857927,0.996888418,0.997098433,0.996997939,0.997299039
22,0.996969979,0.996951968,0.997505344,0.99675603,0.997426432
23,0.996848982,0.997048619,0.997142302,0.996928784,0.997269841
24,0.997273177,0.997064799,0.997484487,0.997014527,0.997258805
25,0.996829842,0.997124806,0.997213092,0.996952848,0.997297273
26,0.996966626,0.996960724,0.996923735,0.99691554,0.997259375
27,0.997113729,0.996902683,0.996907152,0.996970558,0.997390941
28,0.996885837,0.996866801,0.996968439,0.996739609,0.99747346
29,0.997032874,0.99706733,0.99698753,0.99687611,0.997337484
30,0.996928723,0.996776199,0.996997378,0.996987124,0.997178463
31,0.997114788,0.996653559,0.996946784,0.996859602,0.997419089
